"mietekalt","qm_Preis","wohnflaeche","alter","objektzustand","zimmeranzahl","balkon","einbaukueche","keller","ausstattung","ausstattung_kat","aufzug","gaestewc","garten","heizungsart","barrierefrei","Einstellungsdatum","Einstellungsmonat"
330,8.25,40,50,2,2,1,0,1,1,2,0,0,1,6,0,2019-12-01,"12"
576,8,72,39,7,3,1,0,0,0,0,1,0,0,13,1,2019-11-01,"11"
540,9.81818199157715,55,117,4,2,0,0,1,1,2,0,0,0,4,0,2019-03-01,"03"
498.2,10,49.8199996948242,63,5,1,0,0,0,1,1,1,0,0,4,0,2019-11-01,"11"
780,10,78,NA,2,3,1,0,0,0,0,0,0,0,7,0,2019-07-01,"07"
534,8.22677516937256,64.9100036621094,68,NA,3,1,0,1,0,0,0,0,0,13,0,2018-11-01,"11"
780,8.29787254333496,94,40,7,3,1,1,1,0,0,0,0,0,NA,0,2019-04-01,"04"
450,6.92307710647583,65,86,NA,3,0,0,1,1,1,0,0,1,6,0,2019-08-01,"08"
374.56,5.13095903396606,73,57,7,3,1,0,1,0,0,0,0,0,13,0,2019-08-01,"08"
430,7.16666650772095,60,94,NA,2,0,0,1,0,0,0,0,0,13,0,2019-04-01,"04"
450,8.49056625366211,53,NA,NA,2,0,1,0,0,0,0,0,0,4,0,2019-06-01,"06"
180,6,30,NA,NA,1,0,1,1,0,0,0,0,1,NA,0,2019-04-01,"04"
520,7.32394361495972,71,50,7,3,0,0,0,0,0,0,0,0,NA,0,2019-03-01,"03"
247.56,4.19166946411133,59.060001373291,30,NA,2,1,0,1,0,0,0,0,0,13,0,2019-09-01,"09"
242.33,4.67999219894409,51.7799987792969,19,7,2,1,0,0,0,0,0,0,0,NA,0,2019-06-01,"06"
560,9.33333301544189,60,NA,NA,2,0,1,1,1,1,0,0,1,4,0,2019-09-01,"09"
346.48,4.55594968795776,76.0500030517578,49,5,3,1,0,1,0,0,1,0,0,13,1,2019-12-01,"12"
420,5.59999990463257,75,NA,7,2,0,1,0,1,1,0,0,0,3,0,2019-06-01,"06"
191.94,5.30954313278198,36.1500015258789,50,NA,1,1,0,1,0,0,1,0,0,13,0,2019-04-01,"04"
800,8.24742221832275,97,NA,5,3,1,1,0,1,2,0,0,1,13,0,2019-02-01,"02"
675,9,75,82,2,3,0,0,1,0,0,0,0,0,NA,0,2019-07-01,"07"
393.61,5.21199703216553,75.5199966430664,50,NA,3,1,0,1,0,0,0,0,0,13,0,2019-03-01,"03"
360,6.54545450210571,55,NA,NA,2,1,1,1,0,0,0,0,0,NA,0,2019-03-01,"03"
360,6.79245281219482,53,52,7,2.5,0,0,1,1,2,0,0,1,10,0,2019-06-01,"06"
393.61,5.21199703216553,75.5199966430664,50,NA,3,1,0,1,0,0,0,0,0,13,0,2019-07-01,"07"
560,6.58823537826538,85,51,7,3,1,0,1,1,1,1,0,0,13,0,2019-12-01,"12"
